batch_size,width_NODE,test_rmse,train_time,success_rate
4,64,0.007777593683244723,390.4385958512624,1.0
4,128,0.007188102917670264,342.18780303001404,1.0
4,192,0.0071786921146532665,370.0234844684601,1.0
4,256,0.006309993137369965,434.3949722448985,1.0
4,512,0.0061908891785919665,358.4371814727783,1.0
8,64,0.007249862954058187,344.98620740572613,1.0
8,128,0.0062368746529165514,375.85822137196857,1.0
8,192,0.006206887824337132,376.15522503852844,1.0
8,256,0.006113620290270967,408.8086558183034,1.0
8,512,0.006027543892872325,376.0250833829244,1.0
16,64,0.007105546387654584,413.08845885594684,1.0
16,128,0.0062620977387030765,368.15533169110614,1.0
16,192,0.006107244792721112,418.53064465522766,1.0
16,256,0.006136022699439595,367.9568838278453,1.0
16,512,0.006100766495717486,483.41503802935284,1.0
24,64,0.0061471612479432535,351.12772727012634,1.0
24,128,0.006024985805826561,411.53777654965717,1.0
24,192,0.005945481911428155,453.98397556940716,1.0
24,256,0.0060203188731601355,448.1983502705892,1.0
24,512,0.005605884823527449,830.4509671529134,1.0
